Entity,Code,Day,total_vaccinations
Alabama,,2021-03-23,1509445
Alabama,,2021-03-24,1542416
Alabama,,2021-03-25,1579091
Alabama,,2021-03-26,1611404
Alabama,,2021-03-27,1645858
Alabama,,2021-03-28,1659102
Alabama,,2021-03-29,1666585
Alabama,,2021-03-30,1697641
Alabama,,2021-03-31,1728736
Alabama,,2021-04-01,1771979
Alabama,,2021-04-02,1813462
Alabama,,2021-04-03,1847243
Alabama,,2021-04-04,1858833
Alabama,,2021-04-05,1864857
Alabama,,2021-04-06,1896920
Alabama,,2021-04-07,1935221
Alabama,,2021-04-08,1976344
Alabama,,2021-04-09,2021334
Alabama,,2021-04-10,2065327
Alabama,,2021-04-11,2082605
Alabama,,2021-04-12,2092489
Alabama,,2021-04-13,2127317
Alabama,,2021-04-14,2168891
Alabama,,2021-04-15,2207392
Alabama,,2021-04-16,2245574
Alabama,,2021-04-17,2280686
Alabama,,2021-04-18,2292276
Alabama,,2021-04-19,2297563
Alabama,,2021-04-20,2327764
Alabama,,2021-04-21,2360527
Alabama,,2021-04-22,2394304
Alabama,,2021-04-23,2429629
Alabama,,2021-04-24,2461510
Alabama,,2021-04-25,2471409
Alabama,,2021-04-26,2478227
Alabama,,2021-04-27,2499694
Alabama,,2021-04-28,2527815
Alabama,,2021-04-29,2559938
Alabama,,2021-04-30,2591163
Alabama,,2021-05-01,2617405
Alabama,,2021-05-02,2622717
Alabama,,2021-05-03,2627322
Alabama,,2021-05-04,2644674
Alabama,,2021-05-05,2670926
Alabama,,2021-05-06,2673181
Alabama,,2021-05-07,2726356
Alabama,,2021-05-08,2758021
Alabama,,2021-05-09,2768204
Alabama,,2021-05-10,2773615
Alabama,,2021-05-11,2773902
Alabama,,2021-05-12,2791631
Alabama,,2021-05-13,2831853
Alabama,,2021-05-14,2859591
Alabama,,2021-05-15,2881314
Alabama,,2021-05-16,2886106
Alabama,,2021-05-17,2886153
Alabama,,2021-05-18,2905553
Alabama,,2021-05-19,2906102
Alabama,,2021-05-20,2939161
Alabama,,2021-05-21,2945488
Alabama,,2021-05-22,2962661
Alabama,,2021-05-23,2981931
Alabama,,2021-05-24,2982081
Alabama,,2021-05-25,2996346
Alabama,,2021-05-26,3002607
Alabama,,2021-05-27,3007387
Alabama,,2021-05-28,3016803
Alabama,,2021-05-29,3020540
Alabama,,2021-05-30,3021454
Alabama,,2021-06-01,3022276
Alabama,,2021-06-02,3025283
Alabama,,2021-06-03,3025695
Alabama,,2021-06-04,3032765
Alabama,,2021-06-05,3032931
Alabama,,2021-06-06,3035058
Alabama,,2021-06-07,3036419
Alabama,,2021-06-08,3036833
Alabama,,2021-06-09,3040485
Alabama,,2021-06-10,3064250
Alabama,,2021-06-11,3078445
Alabama,,2021-06-12,3105159
Alabama,,2021-06-13,3114649
Alabama,,2021-06-14,3128112
Alabama,,2021-06-15,3129657
Alabama,,2021-06-16,3141802
Alabama,,2021-06-17,3253283
Alabama,,2021-06-18,3254330
Alabama,,2021-06-19,3275273
Alabama,,2021-06-20,3282193
Alabama,,2021-06-21,3285448
Alabama,,2021-06-22,3291351
Alaska,,2021-01-12,35838
Alaska,,2021-01-13,38680
Alaska,,2021-01-14,42596
Alaska,,2021-01-15,49039
Alaska,,2021-01-19,66331
Alaska,,2021-01-20,68293
Alaska,,2021-01-21,71907
Alaska,,2021-01-22,81096
Alaska,,2021-01-23,88344
Alaska,,2021-01-24,94257
Alaska,,2021-01-25,97031
Alaska,,2021-01-26,98149
Alaska,,2021-01-27,101597
Alaska,,2021-01-28,105858
Alaska,,2021-01-29,110396
Alaska,,2021-01-30,115268
Alaska,,2021-01-31,119590
Alaska,,2021-02-01,122020
Alaska,,2021-02-02,123443
Alaska,,2021-02-03,125765
Alaska,,2021-02-04,129936
Alaska,,2021-02-05,134002
Alaska,,2021-02-06,139147
Alaska,,2021-02-07,146082
Alaska,,2021-02-08,150934
Alaska,,2021-02-09,152874
Alaska,,2021-02-10,156255
Alaska,,2021-02-11,162273
Alaska,,2021-02-12,167436
Alaska,,2021-02-13,175138
Alaska,,2021-02-14,183831
Alaska,,2021-02-16,191008
Alaska,,2021-02-17,193617
Alaska,,2021-02-18,199151
Alaska,,2021-02-19,216223
Alaska,,2021-02-20,227403
Alaska,,2021-02-21,235141
Alaska,,2021-02-22,238279
Alaska,,2021-02-23,239927
Alaska,,2021-02-24,243650
Alaska,,2021-02-25,249559
Alaska,,2021-02-26,254334
Alaska,,2021-02-27,259538
Alaska,,2021-02-28,264741
Alaska,,2021-03-01,268406
Alaska,,2021-03-02,269941
Alaska,,2021-03-03,273350
Alaska,,2021-03-04,276891
Alaska,,2021-03-05,281467
Alaska,,2021-03-06,288625
Alaska,,2021-03-07,295046
Alaska,,2021-03-08,298144
Alaska,,2021-03-09,302687
Alaska,,2021-03-10,307769
Alaska,,2021-03-11,313365
Alaska,,2021-03-12,318526
Alaska,,2021-03-13,324271
Alaska,,2021-03-14,333357
Alaska,,2021-03-15,337141
Alaska,,2021-03-16,339647
Alaska,,2021-03-17,345987
Alaska,,2021-03-18,351093
Alaska,,2021-03-19,356055
Alaska,,2021-03-20,362698
Alaska,,2021-03-21,372435
Alaska,,2021-03-22,375590
Alaska,,2021-03-23,376555
Alaska,,2021-03-24,379296
Alaska,,2021-03-25,384503
Alaska,,2021-03-26,389775
Alaska,,2021-03-27,395650
Alaska,,2021-03-28,401502
Alaska,,2021-03-29,403284
Alaska,,2021-03-30,404339
Alaska,,2021-03-31,407233
Alaska,,2021-04-01,411529
Alaska,,2021-04-02,415690
Alaska,,2021-04-03,420238
Alaska,,2021-04-04,428556
Alaska,,2021-04-05,431436
Alaska,,2021-04-06,432690
Alaska,,2021-04-07,436681
Alaska,,2021-04-08,443287
Alaska,,2021-04-09,448337
Alaska,,2021-04-10,455719
Alaska,,2021-04-11,461286
Alaska,,2021-04-12,465250
Alaska,,2021-04-13,496015
Alaska,,2021-04-14,499742
Alaska,,2021-04-15,499815
Alaska,,2021-04-16,504860
Alaska,,2021-04-17,509843
Alaska,,2021-04-18,515501
Alaska,,2021-04-19,517521
Alaska,,2021-04-20,519030
Alaska,,2021-04-21,524758
Alaska,,2021-04-22,530134
Alaska,,2021-04-23,533546
Alaska,,2021-04-24,536961
Alaska,,2021-04-25,539630
Alaska,,2021-04-26,540565
Alaska,,2021-04-27,541593
Alaska,,2021-04-28,543274
Alaska,,2021-04-29,550524
Alaska,,2021-04-30,552792
Alaska,,2021-05-01,560662
Alaska,,2021-05-02,562442
Alaska,,2021-05-03,562875
Alaska,,2021-05-04,563184
Alaska,,2021-05-05,564720
Alaska,,2021-05-06,567031
Alaska,,2021-05-07,569040
Alaska,,2021-05-08,571320
Alaska,,2021-05-09,571368
Alaska,,2021-05-10,575174
Alaska,,2021-05-11,576062
Alaska,,2021-05-12,577317
Alaska,,2021-05-13,578970
Alaska,,2021-05-14,580781
Alaska,,2021-05-15,583641
Alaska,,2021-05-16,586727
Alaska,,2021-05-17,587406
Alaska,,2021-05-18,587995
Alaska,,2021-05-19,590878
Alaska,,2021-05-20,593159
Alaska,,2021-05-21,595885
Alaska,,2021-05-22,598449
Alaska,,2021-05-23,601098
Alaska,,2021-05-24,601963
Alaska,,2021-05-25,602501
Alaska,,2021-05-26,603860
Alaska,,2021-05-27,605559
Alaska,,2021-05-28,607946
Alaska,,2021-05-29,610038
Alaska,,2021-05-30,611608
Alaska,,2021-06-01,612692
Alaska,,2021-06-02,612892
Alaska,,2021-06-03,614726
Alaska,,2021-06-04,616473
Alaska,,2021-06-05,618609
Alaska,,2021-06-06,621223
Alaska,,2021-06-07,622928
Alaska,,2021-06-08,623367
Alaska,,2021-06-09,623531
Alaska,,2021-06-10,625893
Alaska,,2021-06-11,627519
Alaska,,2021-06-12,629530
Alaska,,2021-06-13,630956
Alaska,,2021-06-14,632568
Alaska,,2021-06-15,633467
Alaska,,2021-06-16,634868
Alaska,,2021-06-17,636187
Alaska,,2021-06-18,637512
Alaska,,2021-06-19,638888
Alaska,,2021-06-20,639941
Alaska,,2021-06-21,641221
Alaska,,2021-06-22,641457
American Samoa,ASM,2021-01-12,2124
American Samoa,ASM,2021-01-13,2577
American Samoa,ASM,2021-01-14,2971
American Samoa,ASM,2021-01-15,3883
American Samoa,ASM,2021-01-19,4756
American Samoa,ASM,2021-01-20,5313
American Samoa,ASM,2021-01-21,5664
American Samoa,ASM,2021-01-22,6569
American Samoa,ASM,2021-01-23,6831
American Samoa,ASM,2021-01-24,8046
American Samoa,ASM,2021-01-25,8046
American Samoa,ASM,2021-01-26,8315
American Samoa,ASM,2021-01-27,9085
American Samoa,ASM,2021-01-28,9085
American Samoa,ASM,2021-01-29,9925
American Samoa,ASM,2021-01-30,9925
American Samoa,ASM,2021-01-31,9925
American Samoa,ASM,2021-02-01,10761
American Samoa,ASM,2021-02-02,10761
American Samoa,ASM,2021-02-03,11066
American Samoa,ASM,2021-02-04,11257
American Samoa,ASM,2021-02-05,12029
American Samoa,ASM,2021-02-06,12259
American Samoa,ASM,2021-02-07,12259
American Samoa,ASM,2021-02-08,12259
American Samoa,ASM,2021-02-09,12680
American Samoa,ASM,2021-02-10,13318
American Samoa,ASM,2021-02-11,13513
American Samoa,ASM,2021-02-12,15032
American Samoa,ASM,2021-02-13,15382
American Samoa,ASM,2021-02-14,15382
American Samoa,ASM,2021-02-16,16109
American Samoa,ASM,2021-02-17,16269
American Samoa,ASM,2021-02-18,16269
American Samoa,ASM,2021-02-19,16269
American Samoa,ASM,2021-02-20,17740
American Samoa,ASM,2021-02-21,18778
American Samoa,ASM,2021-02-22,18816
American Samoa,ASM,2021-02-23,18816
American Samoa,ASM,2021-02-24,19739
American Samoa,ASM,2021-02-25,19739
American Samoa,ASM,2021-02-26,20336
American Samoa,ASM,2021-02-27,20338
American Samoa,ASM,2021-02-28,20338
American Samoa,ASM,2021-03-01,20338
American Samoa,ASM,2021-03-02,21079
American Samoa,ASM,2021-03-03,21079
American Samoa,ASM,2021-03-04,21625
American Samoa,ASM,2021-03-05,21625
American Samoa,ASM,2021-03-06,21625
American Samoa,ASM,2021-03-07,21625
American Samoa,ASM,2021-03-08,21625
American Samoa,ASM,2021-03-09,21625
American Samoa,ASM,2021-03-10,23696
American Samoa,ASM,2021-03-11,23696
American Samoa,ASM,2021-03-12,23696
American Samoa,ASM,2021-03-13,23696
American Samoa,ASM,2021-03-14,23696
American Samoa,ASM,2021-03-15,24300
American Samoa,ASM,2021-03-16,24300
American Samoa,ASM,2021-03-17,24300
American Samoa,ASM,2021-03-18,24300
American Samoa,ASM,2021-03-19,24300
American Samoa,ASM,2021-03-20,24300
American Samoa,ASM,2021-03-21,24300
American Samoa,ASM,2021-03-22,27015
American Samoa,ASM,2021-03-23,27263
American Samoa,ASM,2021-03-24,27837
American Samoa,ASM,2021-03-25,27864
American Samoa,ASM,2021-03-26,28503
American Samoa,ASM,2021-03-27,28527
American Samoa,ASM,2021-03-28,28527
American Samoa,ASM,2021-03-29,28527
American Samoa,ASM,2021-03-30,29079
American Samoa,ASM,2021-03-31,31167
American Samoa,ASM,2021-04-01,31167
American Samoa,ASM,2021-04-02,31761
American Samoa,ASM,2021-04-03,31761
American Samoa,ASM,2021-04-04,31775
American Samoa,ASM,2021-04-05,31775
American Samoa,ASM,2021-04-06,31775
American Samoa,ASM,2021-04-07,32856
American Samoa,ASM,2021-04-08,32904
American Samoa,ASM,2021-04-09,33545
American Samoa,ASM,2021-04-10,33545
American Samoa,ASM,2021-04-11,34165
American Samoa,ASM,2021-04-12,34165
American Samoa,ASM,2021-04-13,34165
American Samoa,ASM,2021-04-14,34786
American Samoa,ASM,2021-04-15,34786
American Samoa,ASM,2021-04-16,35972
American Samoa,ASM,2021-04-17,35972
American Samoa,ASM,2021-04-18,35972
American Samoa,ASM,2021-04-19,35972
American Samoa,ASM,2021-04-20,35972
American Samoa,ASM,2021-04-21,36093
American Samoa,ASM,2021-04-22,36093
American Samoa,ASM,2021-04-23,37231
American Samoa,ASM,2021-04-24,37231
American Samoa,ASM,2021-04-25,37590
American Samoa,ASM,2021-04-26,37590
American Samoa,ASM,2021-04-27,37808
American Samoa,ASM,2021-04-28,37808
American Samoa,ASM,2021-04-29,38337
American Samoa,ASM,2021-04-30,38743
American Samoa,ASM,2021-05-01,38743
American Samoa,ASM,2021-05-02,38743
American Samoa,ASM,2021-05-03,38743
American Samoa,ASM,2021-05-04,39125
American Samoa,ASM,2021-05-05,39268
American Samoa,ASM,2021-05-06,39268
American Samoa,ASM,2021-05-07,39666
American Samoa,ASM,2021-05-08,39666
American Samoa,ASM,2021-05-09,39666
American Samoa,ASM,2021-05-10,39666
American Samoa,ASM,2021-05-11,39666
American Samoa,ASM,2021-05-12,39666
American Samoa,ASM,2021-05-13,40091
American Samoa,ASM,2021-05-14,40091
American Samoa,ASM,2021-05-15,40525
American Samoa,ASM,2021-05-16,40525
American Samoa,ASM,2021-05-17,40525
American Samoa,ASM,2021-05-18,40525
American Samoa,ASM,2021-05-19,41461
American Samoa,ASM,2021-05-20,41461
American Samoa,ASM,2021-05-21,41907
American Samoa,ASM,2021-05-22,41907
American Samoa,ASM,2021-05-23,41907
American Samoa,ASM,2021-05-24,41907
American Samoa,ASM,2021-05-25,41907
American Samoa,ASM,2021-05-26,41907
American Samoa,ASM,2021-05-27,42511
American Samoa,ASM,2021-05-28,42511
American Samoa,ASM,2021-05-29,42511
American Samoa,ASM,2021-05-30,42511
American Samoa,ASM,2021-06-01,42511
American Samoa,ASM,2021-06-02,43052
American Samoa,ASM,2021-06-03,43052
American Samoa,ASM,2021-06-04,43052
American Samoa,ASM,2021-06-05,43401
American Samoa,ASM,2021-06-06,43401
American Samoa,ASM,2021-06-07,43401
American Samoa,ASM,2021-06-08,43401
American Samoa,ASM,2021-06-09,43401
American Samoa,ASM,2021-06-10,43401
American Samoa,ASM,2021-06-11,43712
American Samoa,ASM,2021-06-12,43712
American Samoa,ASM,2021-06-13,44016
American Samoa,ASM,2021-06-14,44016
American Samoa,ASM,2021-06-15,44386
American Samoa,ASM,2021-06-16,44646
American Samoa,ASM,2021-06-17,44646
American Samoa,ASM,2021-06-18,45025
American Samoa,ASM,2021-06-19,45025
American Samoa,ASM,2021-06-20,45025
American Samoa,ASM,2021-06-21,45025
American Samoa,ASM,2021-06-22,45335
Arizona,,2021-01-12,141355
Arizona,,2021-01-13,154745
Arizona,,2021-01-14,173665
Arizona,,2021-01-15,197086
Arizona,,2021-01-19,266276
Arizona,,2021-01-20,281887
Arizona,,2021-01-21,303899
Arizona,,2021-01-22,329349
Arizona,,2021-01-23,360958
Arizona,,2021-01-24,390623
Arizona,,2021-01-25,413662
Arizona,,2021-01-26,430892
Arizona,,2021-01-27,458258
Arizona,,2021-01-28,487149
Arizona,,2021-01-29,521097
Arizona,,2021-01-30,557369
Arizona,,2021-01-31,594104
Arizona,,2021-02-01,620608
Arizona,,2021-02-02,631662
Arizona,,2021-02-03,656040
Arizona,,2021-02-04,686116
Arizona,,2021-02-05,719458
Arizona,,2021-02-06,766788
Arizona,,2021-02-07,809230
Arizona,,2021-02-08,841018
Arizona,,2021-02-09,863807
Arizona,,2021-02-10,897757
Arizona,,2021-02-11,941575
Arizona,,2021-02-12,990296
Arizona,,2021-02-13,1041021
Arizona,,2021-02-14,1089155
Arizona,,2021-02-16,1154583
Arizona,,2021-02-17,1164900
Arizona,,2021-02-18,1202770
Arizona,,2021-02-19,1376405
Arizona,,2021-02-20,1425295
Arizona,,2021-02-21,1469676
Arizona,,2021-02-22,1506572
Arizona,,2021-02-23,1525794
Arizona,,2021-02-24,1555942
Arizona,,2021-02-25,1607544
Arizona,,2021-02-26,1671294
Arizona,,2021-02-27,1728239
Arizona,,2021-02-28,1792447
Arizona,,2021-03-01,1849259
Arizona,,2021-03-02,1889742
Arizona,,2021-03-03,1930999
Arizona,,2021-03-04,1979929
Arizona,,2021-03-05,2038623
Arizona,,2021-03-06,2043739
Arizona,,2021-03-07,2162602
Arizona,,2021-03-08,2215219
Arizona,,2021-03-09,2245854
Arizona,,2021-03-10,2293559
Arizona,,2021-03-11,2350374
Arizona,,2021-03-12,2418267
Arizona,,2021-03-13,2484603
Arizona,,2021-03-14,2557630
Arizona,,2021-03-15,2605621
Arizona,,2021-03-16,2655283
Arizona,,2021-03-17,2697523
Arizona,,2021-03-18,2755436
Arizona,,2021-03-19,2760907
Arizona,,2021-03-20,2825939
Arizona,,2021-03-21,2893024
Arizona,,2021-03-22,2942907
Arizona,,2021-03-23,2970577
Arizona,,2021-03-24,3010048
Arizona,,2021-03-25,3106598
Arizona,,2021-03-26,3169061
Arizona,,2021-03-27,3239538
Arizona,,2021-03-28,3308671
Arizona,,2021-03-29,3363062
Arizona,,2021-03-30,3399399
Arizona,,2021-03-31,3451567
Arizona,,2021-04-01,3512579
Arizona,,2021-04-02,3581448
Arizona,,2021-04-03,3653578
Arizona,,2021-04-04,3720230
Arizona,,2021-04-05,3772436
Arizona,,2021-04-06,3809075
Arizona,,2021-04-07,3855073
Arizona,,2021-04-08,3901177
Arizona,,2021-04-09,3975606
Arizona,,2021-04-10,4054007
Arizona,,2021-04-11,4125010
Arizona,,2021-04-12,4168939
Arizona,,2021-04-13,4203995
Arizona,,2021-04-14,4250790
Arizona,,2021-04-15,4306602
Arizona,,2021-04-16,4366496
Arizona,,2021-04-17,4440592
Arizona,,2021-04-18,4505745
Arizona,,2021-04-19,4550226
Arizona,,2021-04-20,4581441
Arizona,,2021-04-21,4631928
Arizona,,2021-04-22,4688598
Arizona,,2021-04-23,4750108
Arizona,,2021-04-24,4815132
Arizona,,2021-04-25,4872521
Arizona,,2021-04-26,4912269
Arizona,,2021-04-27,4940974
Arizona,,2021-04-28,4980955
Arizona,,2021-04-29,5024348
Arizona,,2021-04-30,5070403
Arizona,,2021-05-01,5123812
Arizona,,2021-05-02,5162655
Arizona,,2021-05-03,5176775
Arizona,,2021-05-04,5193862
Arizona,,2021-05-05,5216530
Arizona,,2021-05-06,5259733
Arizona,,2021-05-07,5301083
Arizona,,2021-05-08,5337459
Arizona,,2021-05-09,5372605
Arizona,,2021-05-10,5411726
Arizona,,2021-05-11,5450531
Arizona,,2021-05-12,5471165
Arizona,,2021-05-13,5497137
Arizona,,2021-05-14,5521396
Arizona,,2021-05-15,5558091
Arizona,,2021-05-16,5598339
Arizona,,2021-05-17,5618126
Arizona,,2021-05-18,5635242
Arizona,,2021-05-19,5663654
Arizona,,2021-05-20,5687093
Arizona,,2021-05-21,5718183
Arizona,,2021-05-22,5764271
Arizona,,2021-05-23,5801149
Arizona,,2021-05-24,5829205
Arizona,,2021-05-25,5841059
Arizona,,2021-05-26,5856464
Arizona,,2021-05-27,5879403
Arizona,,2021-05-28,5906194
Arizona,,2021-05-29,5929316
Arizona,,2021-05-30,5952458
Arizona,,2021-06-01,5976666
Arizona,,2021-06-02,5983627
Arizona,,2021-06-03,5997066
Arizona,,2021-06-04,6015930
Arizona,,2021-06-05,6043146
Arizona,,2021-06-06,6067368
Arizona,,2021-06-07,6090510
Arizona,,2021-06-08,6104303
Arizona,,2021-06-09,6121904
Arizona,,2021-06-10,6122967
Arizona,,2021-06-11,6150227
Arizona,,2021-06-12,6183095
Arizona,,2021-06-13,6202357
Arizona,,2021-06-14,6221202
Arizona,,2021-06-15,6236785
Arizona,,2021-06-16,6237009
Arizona,,2021-06-17,6292764
Arizona,,2021-06-18,6311129
Arizona,,2021-06-19,6331444
Arizona,,2021-06-20,6347146
Arizona,,2021-06-21,6347847
Arizona,,2021-06-22,6370509
Arkansas,,2021-01-12,40879
Arkansas,,2021-01-13,94854
Arkansas,,2021-01-14,108316
Arkansas,,2021-01-15,118338
Arkansas,,2021-01-19,142337
Arkansas,,2021-01-20,173312
Arkansas,,2021-01-21,173312
Arkansas,,2021-01-22,201676
Arkansas,,2021-01-23,201676
Arkansas,,2021-01-24,214240
Arkansas,,2021-01-25,221095
Arkansas,,2021-01-26,236290
Arkansas,,2021-01-27,252824
Arkansas,,2021-01-28,252824
Arkansas,,2021-01-29,269993
Arkansas,,2021-01-30,288651
Arkansas,,2021-01-31,303793
Arkansas,,2021-02-01,311230
Arkansas,,2021-02-02,314470
Arkansas,,2021-02-03,322447
Arkansas,,2021-02-04,338227
Arkansas,,2021-02-05,351175
Arkansas,,2021-02-06,374674
Arkansas,,2021-02-07,393445
Arkansas,,2021-02-08,401664
Arkansas,,2021-02-09,404127
Arkansas,,2021-02-10,418054
Arkansas,,2021-02-11,430803
Arkansas,,2021-02-12,447146
Arkansas,,2021-02-13,457386
Arkansas,,2021-02-14,472536
Arkansas,,2021-02-16,483438
Arkansas,,2021-02-17,486949
Arkansas,,2021-02-18,490737
Arkansas,,2021-02-19,517271
Arkansas,,2021-02-20,520904
Arkansas,,2021-02-21,528467
Arkansas,,2021-02-22,535413
Arkansas,,2021-02-23,540192
Arkansas,,2021-02-24,554466
Arkansas,,2021-02-25,572553
Arkansas,,2021-02-26,597990
Arkansas,,2021-02-27,622665
Arkansas,,2021-02-28,649311
Arkansas,,2021-03-01,661572
Arkansas,,2021-03-02,670815
Arkansas,,2021-03-03,687433
Arkansas,,2021-03-04,704368
Arkansas,,2021-03-05,723756
Arkansas,,2021-03-06,744139
Arkansas,,2021-03-07,765260
Arkansas,,2021-03-08,773357
Arkansas,,2021-03-09,782750
Arkansas,,2021-03-10,799184
Arkansas,,2021-03-11,800091
Arkansas,,2021-03-12,836608
Arkansas,,2021-03-13,882630
Arkansas,,2021-03-14,882630
Arkansas,,2021-03-15,892588
Arkansas,,2021-03-16,897059
Arkansas,,2021-03-17,912660
Arkansas,,2021-03-18,929862
Arkansas,,2021-03-19,952919
Arkansas,,2021-03-20,974973
Arkansas,,2021-03-21,999488
Arkansas,,2021-03-22,1008575
Arkansas,,2021-03-23,1012415
Arkansas,,2021-03-24,1032499
Arkansas,,2021-03-25,1056307
Arkansas,,2021-03-26,1086176
Arkansas,,2021-03-27,1114449
Arkansas,,2021-03-28,1143893
Arkansas,,2021-03-29,1153739
Arkansas,,2021-03-30,1159108
Arkansas,,2021-03-31,1183295
Arkansas,,2021-04-01,1209965
Arkansas,,2021-04-02,1244076
Arkansas,,2021-04-03,1305535
Arkansas,,2021-04-04,1306811
Arkansas,,2021-04-05,1316063
Arkansas,,2021-04-06,1325141
Arkansas,,2021-04-07,1351223
Arkansas,,2021-04-08,1379591
Arkansas,,2021-04-09,1405741
Arkansas,,2021-04-10,1440169
Arkansas,,2021-04-11,1469291
Arkansas,,2021-04-12,1478774
Arkansas,,2021-04-13,1484206
Arkansas,,2021-04-14,1508295
Arkansas,,2021-04-15,1535135
Arkansas,,2021-04-16,1561736
Arkansas,,2021-04-17,1585770
Arkansas,,2021-04-18,1611803
Arkansas,,2021-04-19,1618371
Arkansas,,2021-04-20,1624969
Arkansas,,2021-04-21,1645403
Arkansas,,2021-04-22,1667028
Arkansas,,2021-04-23,1688238
Arkansas,,2021-04-24,1707412
Arkansas,,2021-04-25,1724751
Arkansas,,2021-04-26,1734405
Arkansas,,2021-04-27,1737538
Arkansas,,2021-04-28,1753393
Arkansas,,2021-04-29,1772085
Arkansas,,2021-04-30,1787295
Arkansas,,2021-05-01,1803795
Arkansas,,2021-05-02,1824158
Arkansas,,2021-05-03,1829914
Arkansas,,2021-05-04,1834452
Arkansas,,2021-05-05,1845530
Arkansas,,2021-05-06,1860521
Arkansas,,2021-05-07,1872359
Arkansas,,2021-05-08,1885668
Arkansas,,2021-05-09,1900002
Arkansas,,2021-05-10,1905274
Arkansas,,2021-05-11,1909885
Arkansas,,2021-05-12,1919251
Arkansas,,2021-05-13,1928682
Arkansas,,2021-05-14,1938998
Arkansas,,2021-05-15,1954605
Arkansas,,2021-05-16,1966843
Arkansas,,2021-05-17,1970379
Arkansas,,2021-05-18,1973505
Arkansas,,2021-05-19,1981006
Arkansas,,2021-05-20,1991127
Arkansas,,2021-05-21,2002891
Arkansas,,2021-05-22,2015842
Arkansas,,2021-05-23,2025275
Arkansas,,2021-05-24,2029791
Arkansas,,2021-05-25,2032185
Arkansas,,2021-05-26,2041850
Arkansas,,2021-05-27,2050759
Arkansas,,2021-05-28,2058874
Arkansas,,2021-05-29,2069135
Arkansas,,2021-05-30,2077244
Arkansas,,2021-06-01,2081267
Arkansas,,2021-06-02,2083064
Arkansas,,2021-06-03,2089146
Arkansas,,2021-06-04,2095644
Arkansas,,2021-06-05,2103704
Arkansas,,2021-06-06,2111201
Arkansas,,2021-06-07,2111327
Arkansas,,2021-06-08,2117118
Arkansas,,2021-06-09,2123438
Arkansas,,2021-06-10,2130617
Arkansas,,2021-06-11,2130617
Arkansas,,2021-06-12,2137109
Arkansas,,2021-06-13,2143908
Arkansas,,2021-06-14,2151600
Arkansas,,2021-06-15,2155399
Arkansas,,2021-06-16,2161876
Arkansas,,2021-06-17,2168127
Arkansas,,2021-06-18,2173705
Arkansas,,2021-06-19,2180298
Arkansas,,2021-06-20,2185888
Arkansas,,2021-06-21,2190235
Arkansas,,2021-06-22,2191813
Bureau of Prisons,,2021-01-12,14663
Bureau of Prisons,,2021-01-13,15694
Bureau of Prisons,,2021-01-14,16118
Bureau of Prisons,,2021-01-15,16685
Bureau of Prisons,,2021-01-19,17628
Bureau of Prisons,,2021-01-20,19076
Bureau of Prisons,,2021-01-21,20838
Bureau of Prisons,,2021-01-22,21315
Bureau of Prisons,,2021-01-23,23345
Bureau of Prisons,,2021-01-24,24082
Bureau of Prisons,,2021-01-25,24360
Bureau of Prisons,,2021-01-26,25513
Bureau of Prisons,,2021-01-27,27326
